Emp ID,First Name,Last Name,Gender,E Mail,Father's Name,Mother's Name,Date of Birth,Age in Yrs.,Date of Joining,Salary,SSN,Phone No. 
277509,Lois,Walker,F,lois.walker@hotmail.com,Donald Walker,Helen Walker,3/29/1981,36.36,11/24/2003,168251,467-99-4677,303-572-8492
940761,Brenda,Robinson,F,brenda.robinson@gmail.com,Raymond Robinson,Judy Robinson,7/31/1970,47.02,7/27/2008,51063,537-71-4566,225-945-4954
428945,Joe,Robinson,M,joe.robinson@gmail.com,Scott Robinson,Stephanie Robinson,6/16/1963,54.15,08-03-2016,50155,025-92-3584,219-904-2161
408351,Diane,Evans,F,diane.evans@yahoo.com,Jason Evans,Michelle Evans,12-04-1977,39.67,4/16/1999,180294,314-35-9851,215-793-6791
193819,Benjamin,Russell,M,benjamin.russell@charter.net,Gregory Russell,Elizabeth Russell,4/17/1977,40.31,7/25/2013,117642,121-98-7248,262-404-2252
499687,Patrick,Bailey,M,patrick.bailey@aol.com,Ralph Bailey,Laura Bailey,9/27/1982,34.86,7/22/2005,72305,439-99-7721,319-812-6957
539712,Nancy,Baker,F,nancy.baker@bp.com,Scott Baker,Judy Baker,6/13/1995,22.14,9/14/2016,98189,641-29-2071,229-336-5117
380086,Carol,Murphy,F,carol.murphy@gmail.com,Eugene Murphy,Katherine Murphy,6/30/1958,59.12,1/28/1983,60918,423-67-7023,216-336-0009
477616,Frances,Young,F,frances.young@gmail.com,Fred Young,Lillian Young,06-09-1959,58.18,4/27/1994,121587,028-92-8912,210-819-9765
162402,Diana,Peterson,F,diana.peterson@hotmail.co.uk,Jonathan Peterson,Christina Peterson,11/13/1987,29.73,2/17/2014,43010,512-33-6767,479-783-5656
231469,Ralph,Flores,M,ralph.flores@yahoo.com,Terry Flores,Michelle Flores,02-05-1975,42.5,4/14/2009,118457,302-15-0130,316-280-2864
153989,Jack,Alexander,M,jack.alexander@gmail.com,Samuel Alexander,Sharon Alexander,5/19/1995,22.21,01-05-2017,82965,428-99-9413,702-603-3769
386158,Melissa,King,F,melissa.king@comcast.net,Philip King,Maria King,2/24/1972,45.45,11/24/2015,166892,277-17-9106,216-605-3731
301576,Wayne,Watson,M,wayne.watson@gmail.com,Ronald Watson,Margaret Watson,6/26/1996,21.1,7/19/2017,92758,011-94-6649,701-231-9370
441771,Cheryl,Scott,F,cheryl.scott@gmail.com,Richard Scott,Lois Scott,2/23/1958,59.47,11/26/1990,92220,596-94-2279,215-288-9345
528509,Paula,Diaz,F,paula.diaz@gmail.com,Alan Diaz,Kathryn Diaz,8/22/1966,50.97,8/22/1994,152654,234-57-7671,252-531-7641
912990,Joshua,Stewart,M,joshua.stewart@yahoo.ca,Todd Stewart,Martha Stewart,5/18/1970,47.23,09-02-2002,184896,755-07-3676,217-279-9342
214352,Theresa,Lee,F,theresa.lee@gmail.com,John Lee,Rebecca Lee,12-05-1992,24.66,1/19/2015,197537,055-02-9969,319-553-8919
890290,Julia,Scott,F,julia.scott@apple.com,Lawrence Scott,Amy Scott,7/15/1959,58.08,2/23/2005,141518,251-99-1941,423-939-1010
622406,Thomas,Lewis,M,thomas.lewis@gmail.com,Ryan Lewis,Lois Lewis,10-04-1967,49.85,06-07-1998,73862,467-99-2604,314-679-3697
979607,Carol,Edwards,F,carol.edwards@msn.com,Shawn Edwards,Susan Edwards,12/14/1994,22.64,4/25/2016,93967,316-35-9870,225-283-4295
969580,Matthew,Turner,M,matthew.turner@gmail.com,Jose Turner,Kathy Turner,10/26/1993,23.77,02-07-2016,52237,598-92-1988,236-972-7624
426038,Joan,Stewart,F,joan.stewart@yahoo.com,Charles Stewart,Julia Stewart,11/20/1972,44.72,12/30/2009,111673,429-99-6443,216-637-6800
388642,Ruby,Rogers,F,ruby.rogers@gmail.com,Ronald Rogers,Teresa Rogers,05-01-1980,37.27,8/30/2013,160623,236-55-0172,423-231-6507
560455,Carolyn,Hayes,F,carolyn.hayes@hotmail.co.uk,Jimmy Hayes,Sara Hayes,03-10-1958,59.42,07-03-2001,42005,730-28-1350,239-882-8784
477253,Anne,Russell,F,anne.russell@ibm.com,Jimmy Russell,Stephanie Russell,7/29/1989,28.02,11/24/2013,103160,456-99-5619,605-635-1306
263480,Daniel,Cooper,M,daniel.cooper@yahoo.com,Louis Cooper,Julie Cooper,01-01-1990,27.59,03-06-2014,153790,181-86-2024,701-510-8162
683826,Roger,Roberts,M,roger.roberts@gmail.com,Antonio Roberts,Katherine Roberts,07-07-1969,48.09,1/29/2009,129625,120-98-6493,206-497-3141
474599,Maria,Walker,F,maria.walker@microsoft.com,Ralph Walker,Teresa Walker,3/19/1975,42.39,10-01-1998,48944,447-27-3175,423-668-5506
