Emp ID,First Name,Last Name,Gender,E Mail,Father's Name,Mother's Name,Date of Birth,Age in Yrs.,Date of Joining,Salary,SSN,Phone No. 
526540,Angelique,Goodwin,F,angelique.goodwin@gmail.com,Rick Goodwin,Dorian Goodwin,5/15/1964,53.24,3/24/2001,193710,471-57-0359,212-884-7146
859327,Jeni,Shaffer,F,jeni.shaffer@gmail.com,Ryan Shaffer,Love Shaffer,1/13/1962,55.58,12/10/2015,144133,624-85-4146,205-665-7020
887387,Donald,Farris,F,donald.farris@bellsouth.net,Mauro Farris,Edyth Farris,4/11/1958,59.34,11/12/1979,132617,097-02-3315,205-959-7879
779497,Steven,Rendon,M,steven.rendon@gmail.com,Elden Rendon,Angela Rendon,4/4/1982,35.34,9/18/2008,77898,134-98-6566,217-858-0054
896517,Jenell,Almanza,F,jenell.almanza@yahoo.com,Clifford Almanza,Vergie Almanza,7/1/1958,59.12,7/14/1993,139856,599-92-7345,314-893-2590
220965,Almeta,Brookins,F,almeta.brookins@gmail.com,Richard Brookins,Angelika Brookins,5/8/1985,32.24,4/25/2017,90576,109-98-3095,229-238-0915
721091,Bobbie,Branson,M,bobbie.branson@hotmail.com,Joan Branson,Nu Branson,2/10/1996,21.48,4/27/2017,178641,047-15-8435,216-849-6986
633636,Bertram,Carlisle,M,bertram.carlisle@aol.com,Ivory Carlisle,Bao Carlisle,12/31/1982,34.6,11/2/2012,163773,257-99-3865,215-614-1953
823898,Carlton,Leclair,M,carlton.leclair@cox.net,Elroy Leclair,Georgann Leclair,3/17/1986,31.39,1/7/2009,50397,044-15-4027,319-943-1308
413865,Todd,Slater,M,todd.slater@earthlink.net,Donnie Slater,Shay Slater,6/9/1995,22.15,3/7/2017,54458,553-99-2106,218-671-2547
439483,Adalberto,Hazel,M,adalberto.hazel@yahoo.co.in,Frank Hazel,Elizabet Hazel,12/8/1959,57.68,4/27/1995,120471,264-99-9423,262-893-5324
809408,Seymour,Nelson,M,seymour.nelson@hotmail.com,Isaiah Nelson,Novella Nelson,1/21/1996,21.53,7/2/2017,77853,119-98-1796,215-821-4109
